                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.1192,                 1.8124,                0.97236,                0.33875,                0.56643,                0.45959,                 0.3258,                 1.0668,                  2.565,                0.95927,              0.0099766,              0.0099766,              0.0099766
                    120,                 1.0435,                 1.7419,                0.96387,                0.36208,                0.61473,                0.47317,                0.34425,                 1.0929,                 2.4614,                0.96004,              0.0099764,              0.0099764,              0.0099764
                    121,                 1.0804,                 1.8225,                0.95855,                0.38007,                0.51293,                 0.4683,                0.34206,                 1.0431,                 2.4671,                0.94999,              0.0099762,              0.0099762,              0.0099762
                    122,                 1.0618,                  1.771,                0.94189,                0.34095,                0.51075,                0.46082,                0.32894,                 1.0932,                 2.4934,                0.95842,               0.009976,               0.009976,               0.009976
                    123,                 1.1017,                 1.8548,                0.99402,                0.38168,                0.54364,                0.46534,                0.33087,                 1.0979,                 2.5633,                0.95779,              0.0099758,              0.0099758,              0.0099758
                    124,                 1.0909,                 1.7149,                0.95417,                0.38382,                0.59674,                0.44807,                0.31875,                 1.1066,                 2.5635,                0.95605,              0.0099756,              0.0099756,              0.0099756
                    125,                 1.0532,                 1.6776,                0.95078,                0.35711,                0.55562,                0.47031,                0.34195,                 1.0532,                 2.5781,                0.94382,              0.0099754,              0.0099754,              0.0099754
                    126,                 1.0041,                 1.6832,                0.96222,                0.38698,                0.47762,                 0.4291,                0.31069,                 1.0791,                 2.9145,                0.94928,              0.0099753,              0.0099753,              0.0099753
                    127,                0.98411,                 1.8384,                0.94492,                 0.3068,                0.51615,                0.41182,                0.29253,                 1.0661,                 2.9827,                 0.9586,              0.0099751,              0.0099751,              0.0099751
                    128,                0.98739,                 1.7976,                0.96809,                 0.4172,                0.54977,                0.39938,                 0.2935,                 1.0625,                 2.8464,                0.94418,              0.0099749,              0.0099749,              0.0099749
                    129,                 1.0176,                 1.7187,                0.92257,                0.32409,                0.53937,                0.41658,                0.30128,                 1.0997,                 2.8545,                0.95564,              0.0099747,              0.0099747,              0.0099747
                    130,                 1.0327,                 1.6829,                0.93024,                0.29975,                0.53072,                0.39891,                0.29463,                 1.0967,                 2.7861,                0.95382,              0.0099745,              0.0099745,              0.0099745
                    131,                 1.0567,                 1.7409,                0.97366,                0.44743,                0.39558,                0.43326,                0.29696,                 1.1703,                 2.9031,                0.97862,              0.0099743,              0.0099743,              0.0099743
                    132,                 1.0819,                 1.6065,                0.96482,                0.33815,                0.50961,                0.40894,                0.28656,                 1.0921,                 2.8211,                0.97023,              0.0099741,              0.0099741,              0.0099741
